Title,Latitude,Longitude,StateOrProvince,Parking Status,Usage Cost
NRMA Midland ,-31.8962683,116.01022,Western Australia,Public - Membership Required,$0.65 per kWh
K Park Playhouse Lane,-34.925115,138.595206, SA ,Public - Membership Required,$0.50/kWh
BP South Bound,-32.30983528619279,115.83240066607163,Western Australia,Public - Membership Required,65c/kWh
Miller Grove,-37.875016711913474,145.128081929617,Victoria,Public - Membership Required,Cost information not available
Green Head Supercharger,-30.070090453487722,114.96554294156368,Western Australia,Public - Membership Required,Cost information not available
Eli Waters Shopping Centre,-25.286041551013156,152.8158038522372,QueensLand,Public - Membership Required,0.68
Minilya WA EV Network,-23.752240907122726,114.01430399748614,Western Australia,Public - Membership Required,Cost information not available
BP Pulse Northbound ,-32.30935248843228,115.83043488599236,Western Australia,Public - Membership Required,65c/kWh
Gunabul HomeStead,-26.199375967349063,152.6570568531024,QueensLand,Public - Pay At Location,$0.70/kWh
Willowbank Raceway,-27.68917090278832,152.6532223508002,QueensLand,Public - Membership Required,Cost information not available
Spotted Gum Retreat Holiday Accommodation,-36.305150506264994,150.12527830737326,New South Wales,"Private - For Staff, Visitors or Customers",enquire
Watermarc Carpark (LG),-37.70397622211952,145.10521824749753,Victoria,Public,0
Tesla Supercharger Campbellfield,-37.68912458660884,144.95662465559099,Victoria,Public - Membership Required,69c / KwH
Tesla Supercharger Albury,-36.07928408317759,146.91360130129283,New South Wales,Public - Membership Required,$0.69/kWh
Tesla Supercharger Wagga Wagga,-35.13104690746256,147.3397865366278,New South Wales,Public - Membership Required,$0.69/kWh
Evie Cranbourne Homemaker Centre,-38.08489638497555,145.27849713747787,Victoria,Public - Membership Required,Cost information not available
Engie Cranbourne Park,-38.10907515763703,145.28176239248455,Victoria,Public - Membership Required,Cost information not available
BP Pulse Cranbourne,-38.110286646748186,145.2640707648552,Victoria,Public - Membership Required,$0.55/kWh
Telsa Supercharger Box Hill,-37.837816422984424,145.1346849142019,Victoria,Public - Membership Required,Cost information not available
Tesla Supercharger Brighton East,-37.907528089556905,145.01117779850802,Victoria,Public - Membership Required,$0.69/kWh
Bridge Street,-37.94495495500977,145.00192929573643,Victoria,Public - Membership Required,$0.60/kWh for pay-as-you-go charging.
Bay Trail,-38.00841347461177,145.0848841496986,Victoria,Public - Membership Required,Cost information not available
Dongra Electrical,-29.251767146809307,114.93533678947051,Western Australia,Public - Membership Required,$0.35 per KwH
Club Lithgow,-33.485305997724765,150.1520457902966,New South Wales,Public,See Exploren app.
Chargefox Charging Station,-34.07085887727317,150.80665583075495,New South Wales,Public - Membership Required,$0.60/kWh
EPM,-31.97974757849547,115.97197588423592,Western Australia,Public - Membership Required,$0.45 per kWh
Pardoo Road House (WA EV Network),-20.05385007735012,119.8271567468621,Western Australia,Public - Membership Required,Cost information not available
Blackbutts Road,-33.741938777072164,151.21364536627425,New South Wales,Public - Membership Required,Cost information not available
Opposite Malbara Crescent,-33.741938777072164,151.21364536627425,New South Wales,Public - Membership Required,Cost information not available
Waikerie Civic Centre,-34.18231041374674,139.98631021340225,South Australia,Public - Membership Required,"DC is Evening peak 68c kWh (5:00pm to 10:00pm), Standard 59c kWh (all other times), AC is Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)"
