Cost,ChargingPoints,PayAtLocation,MembershipRequired,AccessKeyRequired,IsOperational,Latitude,Longitude,Operator,ConnectionType,PowerOutput,CurrentType,ChargingPoints_Flag,PopulationDensity,DistanceToHighway,DailyTrafficVolume,NearbyRestaurants,NearbyShoppingCenters,ParkingCapacity,LandUseType,MedianIncome,ClimateZone,PeakHours,AvgChargingDuration,DailyUtilizationRate,WeeklyPeakDay,InstallationDate,MostCommonEVModel,AvgBatteryCapacity,MaxChargingSpeed
Unknown,1,Unknown,Unknown,Unknown,Unknown,-31.9362523,115.8715309,Unknown,Unknown,,Unknown,1,2090.3347791444667,2.9693471795305757,6072,5,0,11,Activity Centre,77297.18360039391,Temperate Oceanic (Cfb),"07:00-09:00, 17:00-19:00",44.54398862887143,0.31041454815244207,Monday,2019-08-18 07:47:56.212741088,MG ZS EV,72.75224032329703,9.037328389009419
Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.9358797,151.6438477,ChargePoint,Type 1 (J1772),,Unknown,1,2078.5952405048306,2.868729049849581,9295,3,1,12,Public Use,75546.54016961798,Temperate Oceanic (Cfb),"08:00-10:00, 17:00-19:00",71.9773195473056,0.37370228900832203,Wednesday,2022-02-20 14:59:41.063705440,MG ZS EV,82.72504672009494,18.591290839079452
Unknown,2,Unknown,Unknown,Unknown,Unknown,-41.218297,146.4125226,Unknown,Type 2 (Socket Only),,Unknown,0,3012.724809869488,1.0088467447083191,15478,5,1,11,Public Use,80205.46525456542,Temperate Oceanic (Cfb),"08:00-10:00, 17:00-19:00",48.257689245636776,0.5974288433014627,Thursday,2020-08-08 13:53:11.817650496,BYD Atto 3,80.9519248304699,8.980221601320828
Unknown,8,Unknown,Unknown,Unknown,Unknown,-34.7554799,149.7209942,Tesla Supercharger,Unknown,,Unknown,0,3717.6105183471327,2.6693197781420954,11551,6,1,16,Industrial,69917.2506741818,Temperate Oceanic (Cfb),"07:00-09:00, 17:00-19:00",69.46338053270621,0.5500571273892565,Thursday,2020-04-21 18:46:55.195791936,Tesla Model Y,62.18415601985512,14.906348894460873
Unknown,4,Unknown,Unknown,Unknown,Unknown,-37.8872284,145.0824905,"Tesla, Inc.",Unknown,,Unknown,0,3011.2140762572317,1.9496988755431,15443,2,0,11,Mixed Use,67868.44967570057,Temperate Oceanic (Cfb),"08:00-10:00, 16:00-18:00",72.64559112460404,0.43606051422248465,Monday,2023-10-21 14:27:42.185856224,MG ZS EV,84.64688634256527,15.850899806314578
Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.0270897,145.2116252,Unknown,Unknown,,Unknown,0,3766.725009950493,0.4235026497077129,11778,9,1,13,Commercial,77585.96347444641,Temperate Oceanic (Cfb),"08:00-10:00, 17:00-19:00",53.8394984956389,0.4116353584854001,Thursday,2022-10-23 22:46:46.779661024,Tesla Model Y,78.61388578488142,19.354390345873092
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.5753648,143.8664155,Unknown,Unknown,,Unknown,1,2458.694366858222,1.3274030924019202,7711,2,1,13,Mixed Use,76354.5674679763,Temperate Oceanic (Cfb),"07:00-09:00, 16:00-18:00",74.33597053143603,0.6830691097583279,Tuesday,2023-07-22 22:32:28.334307424,Polestar 2,84.31373708355002,20.40933011504516
Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.8042881,144.9719796,Museums Victoria,Unknown,,Unknown,0,2665.450621382986,2.185810330849442,8896,2,1,10,Mixed Use,81738.29956653075,Temperate Oceanic (Cfb),"08:00-10:00, 16:00-18:00",72.39583106546458,0.32565542857088586,Tuesday,2023-11-22 14:26:01.192285216,Hyundai Kona Electric,79.11907087267441,11.825678946443215
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9054453,145.133609,Unknown,Unknown,,Unknown,1,2220.592492420896,0.32904237252926527,17283,6,0,10,Industrial,65804.90696685159,Temperate Oceanic (Cfb),"08:00-10:00, 16:00-18:00",57.96442423465996,0.31642037727829303,Tuesday,2021-01-01 16:57:30.613676216,Tesla Model 3,66.66213757290606,7.805617178803535
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.6507196,145.5029836,Unknown,Unknown,,Unknown,1,2881.7995831601515,2.3995815871805104,5904,3,0,11,Activity Centre,66389.47538173015,Temperate Oceanic (Cfb),"07:00-09:00, 16:00-18:00",39.34096511505273,0.5178799870242697,Thursday,2020-01-25 07:39:31.244886032,Hyundai Kona Electric,81.20069874830297,16.065873195635756
