selected_ev,distance_km,electricity_price_per_kwh,ice_eff_l_per_100km,petrol_price_per_l,ev_trip_cost,ice_trip_cost,savings_ice_minus_ev,ev_co2_kg,ice_co2_kg,co2_saved_kg,state_elec,state_petrol,notes
MG MG4 64kWh EV 4WD,100.0,0.342,50.0,1.88,5.13,94.0,88.87,10.5,115.5,105.0,SA,TAS,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro,250.0,0.07,9.79,0.01,2.63,0.24,-2.38,26.25,56.54,30.29,NT,ACT,
Peugeot 2008 e2008 GT,400.0,0.07,50.0,1.89,4.2,378.0,373.8,42.0,462.0,420.0,ACT,NT,ICE fetch failed; manual entry path simulated
Volvo C40 Recharge Twin,500.0,0.399,6.63,1.89,29.93,62.65,32.73,52.5,76.58,24.08,WA,VIC,ICE fetch failed; manual entry path simulated
Tesla Model 3 Long Range H5LDB,100.0,0.32,7.75,189.74,4.8,1470.49,1465.69,10.5,17.9,7.4,NSW,NSW,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,150.0,0.07,6.45,2.0,1.58,19.35,17.78,15.75,22.35,6.6,VIC,NSW,ICE fetch failed; manual entry path simulated
Lexus UX 300e,100.0,0.07,9.97,1.78,1.05,17.75,16.7,10.5,23.03,12.53,QLD,NT,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,150.0,0.259,8.32,189.74,5.83,2367.96,2362.13,15.75,28.83,13.08,QLD,SA,
Ford Mach-E Premium LFP AWD,400.0,0.07,8.89,1.98,4.2,70.41,66.21,42.0,82.14,40.14,TAS,TAS,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range GT,150.0,0.319,7.94,2.39,7.18,28.46,21.29,15.75,27.51,11.76,TAS,TAS,
Audi Q8 Q8 e-tron quattro Sportback,200.0,0.07,8.56,89.99,2.1,1540.63,1538.53,21.0,39.55,18.55,NT,WA,
Cupra Born Born 77kWh 5 seat,250.0,0.355,0.5,0.01,13.31,0.01,-13.3,26.25,2.89,-23.36,WA,ACT,ICE fetch failed; manual entry path simulated
"Cupra Born 77kWh 4 seat (20 Alloys)""",250.0,0.07,11.05,1.99,2.63,54.97,52.35,26.25,63.81,37.56,QLD,ACT,
"Cupra Born 77kWh 4 seat (20 Alloys)""",500.0,0.6,9.17,2.2,45.0,100.87,55.87,52.5,105.91,53.41,SA,WA,
"Kia EV9 Earth AWD 20"",0""",300.0,0.07,9.04,1.88,3.15,50.99,47.84,31.5,62.65,31.15,NT,NT,
Rolls-Royce Spectre Coupe,300.0,0.284,6.47,1.82,12.78,35.33,22.55,31.5,44.84,13.34,QLD,QLD,
BYD DOLPHIN Dynamic,100.0,0.6,8.88,89.99,9.0,799.11,790.11,10.5,20.51,10.01,ACT,QLD,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,400.0,0.6,0.5,89.99,36.0,179.98,143.98,42.0,4.62,-37.38,WA,NSW,ICE fetch failed; manual entry path simulated
Peugeot Partner  ePARTNER PRO LONG,150.0,0.07,10.43,89.99,1.58,1407.89,1406.32,15.75,36.14,20.39,QLD,VIC,
Ford Mach-E Select LFP RWD,300.0,0.07,7.6,1.8,3.15,41.04,37.89,31.5,52.67,21.17,VIC,SA,
Volvo XC40 Recharge Twin,100.0,0.6,9.9,1.92,9.0,19.01,10.01,10.5,22.87,12.37,ACT,TAS,
Rolls-Royce Spectre Black Badge Coupe,300.0,0.256,9.66,0.01,11.52,0.29,-11.23,31.5,66.94,35.44,TAS,ACT,
BMW 7 Series i7 M70 xDrive,100.0,0.315,7.67,2.08,4.72,15.95,11.23,10.5,17.72,7.22,NSW,VIC,
MG ZS EV 72kWh,250.0,0.336,9.8,1.94,12.6,47.53,34.93,26.25,56.59,30.34,ACT,QLD,
GWM Ora Standard Range,250.0,0.399,10.42,1.8,14.96,46.89,31.93,26.25,60.18,33.93,SA,NSW,
Fiat 500e FWD 87 kW 42 kWh,100.0,0.6,11.19,2.0,9.0,22.38,13.38,10.5,25.85,15.35,NT,TAS,
Mercedes-Benz EQS 500 4MATIC,300.0,0.243,9.67,189.74,10.94,5504.36,5493.42,31.5,67.01,35.51,VIC,SA,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Coupe,100.0,0.317,999.0,89.99,4.75,89900.01,89895.25,10.5,2307.69,2297.19,TAS,QLD,ICE fetch failed; manual entry path simulated
Ford Mach-E Select LFP RWD,500.0,0.334,11.41,1.96,25.05,111.82,86.77,52.5,131.79,79.29,NT,SA,
BMW 7 Series i7 M70 xDrive,150.0,0.295,9.1,0.01,6.64,0.14,-6.5,15.75,31.53,15.78,WA,QLD,
Audi Q8 Q8 e-tron quattro Sportback,200.0,0.07,9.17,189.74,2.1,3479.83,3477.73,21.0,42.37,21.37,TAS,ACT,ICE fetch failed; manual entry path simulated
BYD SEAL PREMIUM,500.0,0.07,8.83,1.9,5.25,83.88,78.63,52.5,101.99,49.49,WA,WA,
Volvo XC40 Recharge Twin,100.0,0.1,6.86,0.01,1.5,0.07,-1.43,10.5,15.85,5.35,SA,NT,
GWM Ora Extended Range GT,300.0,0.6,11.13,1.88,27.0,62.77,35.77,31.5,77.13,45.63,ACT,NSW,
"Cupra Born 77kWh 4 seat (20 Alloys)""",100.0,0.267,8.78,1.82,4.0,15.98,11.97,10.5,20.28,9.78,TAS,SA,
Fiat 500e FWD 87 kW 42 kWh,250.0,0.402,9.99,89.99,15.08,2247.5,2232.43,26.25,57.69,31.44,NSW,VIC,
GWM Ora Extended Range,150.0,0.272,9.27,89.99,6.12,1251.31,1245.19,15.75,32.12,16.37,WA,SA,
Audi Q8 Q8 e-tron quattro Sportback,300.0,0.07,9.0,2.32,3.15,62.64,59.49,31.5,62.37,30.87,WA,NSW,ICE fetch failed; manual entry path simulated
Volvo C40 Recharge,200.0,0.374,7.68,89.99,11.22,1382.25,1371.03,21.0,35.48,14.48,NSW,NT,
Tesla Model 3 RWD H6LRB,200.0,0.6,6.29,2.02,18.0,25.41,7.41,21.0,29.06,8.06,SA,NT,
"Cupra Born 77kWh 4 seat (19 Alloys)""",250.0,0.421,8.73,1.7,15.79,37.1,21.31,26.25,50.42,24.17,NT,ACT,
MG MG4 64kWh EV RWD ,400.0,0.07,10.27,89.99,4.2,3696.79,3692.59,42.0,94.89,52.89,NSW,WA,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Black Badge Coupe,150.0,0.349,9.09,2.06,7.85,28.09,20.24,15.75,31.5,15.75,SA,TAS,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,300.0,0.323,7.26,1.97,14.54,42.91,28.37,31.5,50.31,18.81,TAS,VIC,
Fiat 500e FWD 87 kW 42 kWh,250.0,0.07,9.09,1.78,2.63,40.45,37.83,26.25,52.49,26.24,WA,VIC,
GWM Ora Extended Range GT,200.0,0.07,8.38,89.99,2.1,1508.23,1506.13,21.0,38.72,17.72,VIC,WA,
Peugeot 2008 e2008 GT,200.0,0.6,9.7,1.75,18.0,33.95,15.95,21.0,44.81,23.81,VIC,QLD,
Rolls-Royce Spectre Black Badge Coupe,150.0,0.07,9.25,189.74,1.58,2632.64,2631.07,15.75,32.05,16.3,NSW,ACT,
Tesla Model 3 Long Range H5LDB,150.0,0.07,8.57,89.99,1.58,1156.82,1155.25,15.75,29.7,13.95,TAS,TAS,
Fiat 500e FWD 87 kW 42 kWh,400.0,0.371,9.81,189.74,22.26,7445.4,7423.14,42.0,90.64,48.64,QLD,ACT,
Ford Mach-E Premium 4P RWD,300.0,0.07,50.0,1.82,3.15,273.0,269.85,31.5,346.5,315.0,NSW,ACT,ICE fetch failed; manual entry path simulated
Peugeot Partner  ePARTNER PRO LONG,100.0,0.1,8.55,1.96,1.5,16.76,15.26,10.5,19.75,9.25,ACT,ACT,ICE fetch failed; manual entry path simulated
Lexus RZ 450e,250.0,0.07,9.34,0.01,2.63,0.23,-2.39,26.25,53.94,27.69,NSW,QLD,
Audi Q8 Q8 e-tron quattro Sportback,300.0,0.33,9.55,1.78,14.85,51.0,36.15,31.5,66.18,34.68,NT,TAS,
Peugeot Partner  ePARTNER PRO LONG,300.0,0.1,9.0,189.74,4.5,5122.98,5118.48,31.5,62.37,30.87,SA,WA,
Cupra Born Born 77kWh 5 seat,100.0,0.361,8.23,189.74,5.42,1561.56,1556.15,10.5,19.01,8.51,NSW,VIC,
Audi Q8 Q8 e-tron quattro,150.0,0.1,9.44,1.9,2.25,26.9,24.65,15.75,32.71,16.96,NSW,NT,
