ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Temperature,Humidity,WindSpeed,DayOfWeek,HourOfDay,IsHoliday,DateCollected,CurrentDemand,WeatherMain_Clear,WeatherMain_Clouds,WeatherMain_Rain,TrafficDensity_High,TrafficDensity_Low,TrafficDensity_Medium,Season_Autumn,LagDemand_1hr,LagDemand_2hr,DayOfWeek_Num,TotalDemand
8737,Derby Place,-33.88358,151.19153,,N/A,1,Glebe,17.92,73,12.35,Wednesday,2,False,2025-04-30,72,False,True,False,True,False,False,True,,,2,72
8740,University Drive S Bruce ACT 2617,-35.24051,149.08711,,N/A,1,Canberra,14.57,65,6.26,Wednesday,2,False,2025-04-30,14,False,True,False,False,False,True,True,,,2,14
8745,1 The Avenue,-31.937153,115.840552,,N/A,1,Leederville,24.83,39,6.69,Wednesday,2,False,2025-04-30,100,True,False,False,False,False,True,True,,,2,100
9892,Round Cnr 494-500 Old Northern Road,-33.693647,151.018619,,N/A,1,Dural,17.11,69,2.68,Wednesday,2,False,2025-04-30,37,False,True,False,True,False,False,True,,,2,37
16213,Phoenix Holden,-31.79273449405545,115.81597745418549,,N/A,1,Wanneroo,24.81,41,5.16,Wednesday,2,False,2025-04-30,96,True,False,False,True,False,False,True,,,2,96
16214,EV Shop,-31.8608,115.805476,,N/A,2,Balcatta,25.02,40,5.66,Wednesday,2,False,2025-04-30,17,True,False,False,True,False,False,True,,,2,17
16228,"Department of Biodiversity, Conservation and Attractions KMCSC",-31.996175311870495,115.88449479477242,,N/A,1,Kensington,24.55,39,6.69,Wednesday,2,False,2025-04-30,70,True,False,False,False,False,True,True,,,2,70
16263,Elder St - City of Perth Parking,-31.949440307195434,115.85039019584656,,N/A,2,Perth,24.42,41,6.69,Wednesday,2,False,2025-04-30,88,True,False,False,True,False,False,True,,,2,88
16266,Shacks Holden,-32.046135,115.751576,,N/A,1,Fremantle,24.54,38,6.69,Wednesday,2,False,2025-04-30,96,True,False,False,True,False,False,True,,,2,96
16268,Magic Kia / Renault,-32.04583613325877,115.80922963466207,,N/A,1,Melville,24.27,38,6.69,Wednesday,2,False,2025-04-30,85,True,False,False,False,False,True,True,,,2,85
