IsRecentlyVerified,DateLastVerified,ID,DataProviderID,DataProvidersReference,OperatorsReference,UsageCost,Connections,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,MetadataValues,DateCreated,DataProvider.WebsiteURL,DataProvider.Comments,DataProvider.DataProviderStatusType.IsProviderEnabled,DataProvider.DataProviderStatusType.Title,DataProvider.IsRestrictedEdit,DataProvider.IsOpenDataLicensed,DataProvider.IsApprovedImport,DataProvider.License,DataProvider.DateLastImported,DataProvider.Title,OperatorInfo.WebsiteURL,OperatorInfo.Comments,OperatorInfo.PhonePrimaryContact,OperatorInfo.PhoneSecondaryContact,OperatorInfo.IsPrivateIndividual,OperatorInfo.AddressInfo,OperatorInfo.BookingURL,OperatorInfo.ContactEmail,OperatorInfo.FaultReportEmail,OperatorInfo.IsRestrictedEdit,OperatorInfo.Title,UsageType.IsPayAtLocation,UsageType.IsMembershipRequired,UsageType.IsAccessKeyRequired,UsageType.Title,StatusType.IsOperational,StatusType.IsUserSelectable,StatusType.Title,SubmissionStatus.IsLive,SubmissionStatus.Title,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.AddressLine2,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Country.ISOCode,AddressInfo.Country.ContinentCode,AddressInfo.Country.Title,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.ContactEmail,AddressInfo.AccessComments,AddressInfo.RelatedURL,AddressInfo.Distance,AddressInfo.DistanceUnit,OperatorInfo,UsageType
True,2024-08-25T01:12:00Z,303446,1,,,$0.50/kWh,"[{'ID': 571948, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 125, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 571949, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 125, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",1.0,Parking fees 0.0 - 0.5 hrs $3.00 0.5 - 1 hrs $6.00 1 - 2 hrs $10.00 2 - 3 hrs $13.00 3 - 4 hrs $17.00 4 - 5 hrs $19.00 5+ hrs $23.00,,,50,,2024-08-25T01:12:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,https://chargefox.com,,,,False,,,,,False,Chargefox,False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,K Park Playhouse Lane,20 Playhouse Ln,,Adelaide, SA ,5000,18,AU,OC,Australia,-34.925115,138.595206,,,,Monday to Thursday 5:00am - 12:30am Friday & weekends 5:00am - 2:00am,,,0,,
True,2024-08-14T03:03:00Z,302585,1,,,65c/kWh,"[{'ID': 568719, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 150, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 6, 'Comments': None}]",6.0,,,,50,,2024-08-14T03:03:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,https://www.bp.com/en_au/australia/home/products-services/bppulse.html,,,,False,,,,,False,BP Pulse (AU),False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,BP South Bound,Leary Road,Baldivis,,Western Australia,6171,18,AU,OC,Australia,-32.30983528619279,115.83240066607163,,,,,,,0,,
True,2024-08-06T13:19:00Z,302397,1,,,,"[{'ID': 567076, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",2.0,,,,50,,2024-08-03T13:14:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,https://exploren.com.au/,,,,False,,,,,False,Exploren,False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,Miller Grove,Miller Grove,Mount Waverley,,Victoria,3149,18,AU,OC,Australia,-37.875016711913474,145.128081929617,,,,,,,0,,
True,2024-07-31T12:37:00Z,302211,1,,,,"[{'ID': 566398, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 566399, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 566400, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 566401, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 566402, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 566403, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 1, 'Level': {'Comments': 'Under 2 kW, usually domestic socket types', 'IsFastChargeCapable': False, 'ID': 1, 'Title': 'Level 1 : Low (Under 2kW)'}, 'Amps': None, 'Voltage': 0, 'PowerKW': 250, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",6.0,,,,150,,2024-07-31T12:37:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,http://www.teslamotors.com,,,,False,,,,,False,Tesla (Tesla-only charging),False,True,True,Public - Membership Required,False,True,Planned For Future Date,True,Submission Published,Green Head Supercharger,Ocean View Drive,,Green Head,Western Australia,6514,18,AU,OC,Australia,-30.070090453487722,114.96554294156368,,,,,,,0,,
True,2024-07-29T05:35:00Z,301868,1,,,0.68,"[{'ID': 564967, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 150, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 4, 'Comments': None}]",4.0,,,,50,,2024-07-26T05:17:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,http://goevie.com.au/,,,,False,,,,,False,Evie,False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,Eli Waters Shopping Centre,2 Ibis Boulevard,,Hervey Bay,QLD,,18,AU,OC,Australia,-25.286041551013156,152.8158038522372,,,,,https://evie.com.au/find-a-charger/,,0,,
True,2024-07-17T14:38:00Z,301260,1,,,,"[{'ID': 562709, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 2, 'Comments': None}, {'ID': 562710, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",2.0,,,,50,,2024-07-17T14:38:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,https://chargefox.com,,,,False,,,,,False,Chargefox,False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,Minilya WA EV Network,Minilya-Exmouth Road,,,Western Australia,,18,AU,OC,Australia,-23.752240907122726,114.01430399748614,,,,,,,0,,
True,2024-08-14T02:59:00Z,300856,1,,,65c/kWh,"[{'ID': 560888, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 150, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 6, 'Comments': None}]",6.0,,,,50,,2024-07-12T03:41:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,https://www.bp.com/en_au/australia/home/products-services/bppulse.html,,,,False,,,,,False,BP Pulse (AU),False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,BP Pulse Northbound ,191 Paparone Road,Baldivis,Perth,Western Australia,6171,18,AU,OC,Australia,-32.30935248843228,115.83043488599236,,,,,,,0,,
True,2024-07-13T01:09:00Z,300802,1,,,$0.70/kWh,"[{'ID': 560439, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 160, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 2, 'Comments': ''}]",2.0,"Tap and Go available but broken, app required until fixed.",,,50,,2024-07-10T01:04:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,,,,,,,,,,,(Unknown Operator),True,False,False,Public - Pay At Location,True,True,Operational,True,Submission Published,Gunabul HomeStead,9 Power Road,,Southside,QLD,4570,18,AU,OC,Australia,-26.199375967349063,152.6570568531024,,,,"Follow homestead access road off Power Road, charger well signed and located on the right under the trees in the carpark.",https://elu.net.au/,,0,,
True,2024-07-26T06:19:00Z,300801,1,,,,"[{'ID': 560438, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 300, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 2, 'Comments': 'Site varies between free and paid, access may be unavailable during some race events.'}]",2.0,,,,50,,2024-07-10T00:59:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,https://elanga.com.au/,,,,False,,,,,False,Elanga (AU),False,True,True,Public - Membership Required,True,True,Operational,True,Submission Published,Willowbank Raceway,133 Champions Way,, Willowbank,QLD,4306,18,AU,OC,Australia,-27.68917090278832,152.6532223508002,,,,Located in carpark off Champions Way. ,https://elanga.com.au/,,0,,
True,2024-07-08T11:39:00Z,300463,1,,,enquire,"[{'ID': 559430, 'ConnectionTypeID': 1036, 'ConnectionType': {'FormalName': 'IEC 62196-2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 1036, 'Title': 'Type 2 (Tethered Connector) '}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 7, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 1, 'Comments': None}]",1.0,,,,50,,2024-07-05T11:34:00Z,http://openchargemap.org,,True,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,Open Charge Map Contributors,,,,,,,,,,,(Unknown Operator),False,False,False,"Private - For Staff, Visitors or Customers",True,True,Operational,True,Submission Published,Spotted Gum Retreat Holiday Accommodation,Lamont Young Drive,,Mystery Bay,New South Wales,2546,18,AU,OC,Australia,-36.305150506264994,150.12527830737326,,,,,http://www.spottedgumretreat.com.au,,0,,
